,深夜バイト,シニア,広告,介護スタッフ,NameEntity
0,0.4282669489910096,0.46693949361716525,0.45100001069461404,0.525549667912152,利用者定員0名
1,0.5166611992500972,0.5429707819912841,0.4880173523318454,0.7739764173163667,看護スタッフ
2,0.21879299890104492,0.21283257571046577,0.1871026422058634,0.25260858024519844,comfortable
3,0.3350365123899135,0.27161395394254756,0.33058006794353967,0.24928270859432353,東京メトロ銀座線浅草駅
4,0.4666924309583035,0.5173632606779947,0.4830339112274815,0.5365575220765308,充実した研修制度
5,0.3956133516810225,0.41266792779730316,0.3619329923798465,0.40598377099230964,長期歓迎
6,0.1653011500404209,0.13970282301604303,0.1741183747672131,0.1791330058955655,動物園
7,0.39507802528006697,0.4125398235647313,0.4065161435512044,0.4274140786555957,充実した設備
8,0.26372553037688273,0.24626090177279863,0.28677476329077,0.22619387603269522,いくべきもの
9,0.3435029278427712,0.3454581633821862,0.3626083123016672,0.37970967292754715,中央区
10,0.4674100296791141,0.5001540221617463,0.502393861100651,0.4670261680051748,0F/0F/0F
11,0.43491453088062565,0.3213807378871241,0.3659402614051194,0.3791431014851315,残業なし
12,0.15329735399658365,0.22829511779674783,0.22494912396030745,0.21136063743228628,学会
13,0.40797416445932777,0.5238269870191908,0.43122824897165607,0.723666033847618,身体介護
14,0.25660069090661136,0.1920523022107003,0.23237070314802993,0.22469749926808533,京王線上北沢駅
15,0.27133996738470617,0.35077739917709827,0.29593731708822535,0.36217344871383467,住まい
16,0.5637935716474867,0.46901644137787635,0.43270010692269184,0.572974432335276,夜勤 希望
17,0.5108146892391051,0.37719481190205,0.3817218559156971,0.41643139371056215,勤務する曜日
18,0.3806773751856109,0.34260347905995947,0.3694323100407363,0.3426855562423686,※0:0
19,0.18171128998256103,0.19856700493596424,0.19634556180819662,0.17488148944414328,最高
20,0.3723340498490147,0.40804147885401276,0.4046732498880757,0.4049384394751052,・マスク支給
21,0.4945128187619646,0.6039283520511239,0.5256631210396636,0.752984314016325,介護福祉士実務者研修
22,0.3213947096536948,0.34432361812381146,0.3495172933620212,0.3606492376982662,給制度
23,0.5868790225996994,0.5046687283925178,0.4895321701359569,0.5439227344360581,[日勤・週休0日制
24,0.25660069090661136,0.1920523022107003,0.23237070314802993,0.22469749926808533,二子玉川駅
25,0.2611063157714811,0.22910155421668038,0.22411988310348802,0.24051570866721675,全域
26,0.46353523607645014,0.5795203304127796,0.48180260908551853,0.792636040774761,社会福祉士介護福祉士看護師
27,0.45335857949898406,0.4958834466365179,0.49480333442637975,0.5666580103150254,難しい業務
28,0.48766378814677064,0.5420599497940449,0.5391243112065651,0.5609549533142071,または小規模多機能ホーム)での見学
29,0.5028797738435707,0.621032905370769,0.5711426531930303,0.8210367546059898,< 介護施設運営
30,0.42517706918325016,0.38989962046754434,0.36395398211657737,0.3575315794986777,年間休日0日
31,0.3356323464929677,0.3397037133358791,0.3080053831404534,0.3562028795292656,埼玉県春日部市
32,0.509615069492421,0.5295963043200524,0.48492683292407385,0.6326527298763521,鶴ヶ島ナーシングホーム埼玉県鶴ヶ島市
33,0.262053645628937,0.2895812335233499,0.31775465532909986,0.31861411514541743,売上等
